driverId,dob,nationality,dob_formatted,raceId,grid,results_position,positionText,positionOrder,results_points,results_laps,fastestLap,rank,race_ms,results_fastestlaptime,fastestLapSpeed,statusId,status,year,round,circuitId,races_name,date,dstnd_points,dstnd_position,wins,lapt_lap,lapt_position,lap_ms,pit_lap,pit_ms,quali_position,sprslt_grid,sprslt_position,sprslt_points,sprslt_quali_ms,sprslt_fastestLap,sprslt_fastestlaptime
1,1/7/1985,British,1985,1071,10,1,1,1,25,71,46,2,5542851,01:12.0,215.503,1,Finished,2021,19,18,São Paulo Grand Prix,2021-11-14,318.5,2,6,3,4,74254,8,18660,1,20,5,0,1770431,5,01:12.4
1,1/7/1985,British,1985,1071,10,1,1,1,25,71,46,2,5542851,01:12.0,215.503,1,Finished,2021,19,18,São Paulo Grand Prix,2021-11-14,318.5,2,6,3,4,74254,43,22664,1,20,5,0,1770431,5,01:12.4
1,1/7/1985,British,1985,1071,10,1,1,1,25,71,46,2,5542851,01:12.0,215.503,1,Finished,2021,19,18,São Paulo Grand Prix,2021-11-14,318.5,2,6,3,4,74254,7,17910,1,20,5,0,1770431,5,01:12.4
1,1/7/1985,British,1985,1071,10,1,1,1,25,71,46,2,5542851,01:12.0,215.503,1,Finished,2021,19,18,São Paulo Grand Prix,2021-11-14,318.5,2,6,3,4,74254,26,22690,1,20,5,0,1770431,5,01:12.4
1,1/7/1985,British,1985,1071,10,1,1,1,25,71,46,2,5542851,01:12.0,215.503,1,Finished,2021,19,18,São Paulo Grand Prix,2021-11-14,318.5,2,6,71,1,73860,8,18660,1,20,5,0,1770431,5,01:12.4
1,1/7/1985,British,1985,1071,10,1,1,1,25,71,46,2,5542851,01:12.0,215.503,1,Finished,2021,19,18,São Paulo Grand Prix,2021-11-14,318.5,2,6,71,1,73860,43,22664,1,20,5,0,1770431,5,01:12.4
1,1/7/1985,British,1985,1071,10,1,1,1,25,71,46,2,5542851,01:12.0,215.503,1,Finished,2021,19,18,São Paulo Grand Prix,2021-11-14,318.5,2,6,71,1,73860,7,17910,1,20,5,0,1770431,5,01:12.4
1,1/7/1985,British,1985,1071,10,1,1,1,25,71,46,2,5542851,01:12.0,215.503,1,Finished,2021,19,18,São Paulo Grand Prix,2021-11-14,318.5,2,6,71,1,73860,26,22690,1,20,5,0,1770431,5,01:12.4
1,1/7/1985,British,1985,1071,10,1,1,1,25,71,46,2,5542851,01:12.0,215.503,1,Finished,2021,19,18,São Paulo Grand Prix,2021-11-14,318.5,2,6,1,6,83099,8,18660,1,20,5,0,1770431,5,01:12.4
1,1/7/1985,British,1985,1071,10,1,1,1,25,71,46,2,5542851,01:12.0,215.503,1,Finished,2021,19,18,São Paulo Grand Prix,2021-11-14,318.5,2,6,1,6,83099,43,22664,1,20,5,0,1770431,5,01:12.4
